movie_name,evaluate,describe,introduce,serial_number,star
美国往事,210217人评价,往事如烟，无处祭奠。,1984/意大利美国/犯罪剧情,59,9.1
小鞋子,175851人评价,奔跑的孩子是天使。,1997/伊朗/剧情家庭儿童,60,9.2
七宗罪,509820人评价,警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,61,8.8
被嫌弃的松子的一生,365623人评价,以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,62,8.9
致命魔术,416165人评价,孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,63,8.8
本杰明·巴顿奇事,473684人评价,在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,64,8.8
天使爱美丽,568084人评价,法式小清新。 ,2001/法国德国/喜剧爱情,65,8.7
西西里的美丽传说,439770人评价,美丽无罪。,2000/意大利美国/剧情战争情色,66,8.8
末代皇帝,235317人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国美国/剧情传记历史,67,9.0
黑客帝国,348337人评价,视觉革命。,1999/美国澳大利亚/动作科幻,68,8.9
让子弹飞,769845人评价,你给我翻译翻译，神马叫做TMD的惊喜。,2010/中国大陆香港/剧情喜剧动作西部,69,8.7
拯救大兵瑞恩,297200人评价,美利坚精神输出大片No1.,1998/美国/剧情历史战争,70,8.9
看不见的客人,464825人评价,你以为你以为的就是你以为的。,2016/西班牙/剧情犯罪悬疑惊悚,71,8.7
音乐之声,278198人评价,用音乐化解仇恨，让歌声串起美好。,1965/美国/剧情传记爱情歌舞,72,8.9
低俗小说,407158人评价,故事的高级讲法。,1994/美国/剧情喜剧犯罪,73,8.8
勇敢的心,340983人评价,史诗大片的典范。,1995/美国/动作传记剧情历史战争,74,8.8
剪刀手爱德华,574889人评价,浪漫忧郁的成人童话。,1990/美国/剧情奇幻爱情,75,8.7
大闹天宫,134095人评价,经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,76,9.3
沉默的羔羊,416685人评价,安东尼·霍普金斯的顶级表演。,1991/美国/剧情犯罪惊悚,77,8.8
蝴蝶效应,457589人评价,人的命运被自己瞬间的抉择改变。,2004/美国加拿大/剧情悬疑科幻惊悚,78,8.7
春光乍泄,300097人评价,爱情纠缠，男女一致。,1997/香港日本韩国/剧情爱情同性,79,8.8
入殓师,359585人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,2008/日本/剧情,80,8.8
哈利·波特与魔法石,339402人评价,童话世界的开端。,2001/美国英国/奇幻冒险,81,8.8
心灵捕手,331448人评价,人生中应该拥有这样的一段豁然开朗。,1997/美国/剧情,82,8.8
玛丽和马克思,261146人评价,你是我最好的朋友，你是我唯一的朋友 。,2009/澳大利亚/剧情动画,83,8.9
猫鼠游戏,297664人评价,骗子大师和执著警探的你追我跑故事。 ,2002/美国加拿大/传记犯罪剧情,84,8.8
布达佩斯大饭店,397170人评价,小清新的故事里注入了大历史的情怀。,2014/美国德国英国/剧情喜剧冒险,85,8.8
禁闭岛,438017人评价,昔日翩翩少年，今日大腹便便。,2010/美国/剧情悬疑惊悚,86,8.7
阳光灿烂的日子,325440人评价,一场华丽的意淫。,1994/中国大陆香港/剧情,87,8.8
第六感,278591人评价,深入内心的恐怖，出人意料的结局。,1999/美国/剧情悬疑惊悚,88,8.8
幽灵公主,278236人评价,人与自然的战争史诗。,1997/日本/动画奇幻冒险,89,8.8
重庆森林,396558人评价,寂寞没有期限。,1994/香港/剧情爱情,90,8.7
狩猎,163828人评价,人言可畏。,2012/丹麦瑞典/剧情,91,9.1
致命ID,382825人评价,最不可能的那个人永远是最可能的。,2003/美国/剧情悬疑惊悚,92,8.7
断背山,380596人评价,每个人心中都有一座断背山。,2005/美国加拿大/剧情爱情同性家庭,93,8.7
穿条纹睡衣的男孩,191701人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008/英国美国/剧情战争,94,8.9
加勒比海盗,419953人评价,约翰尼·德普的独角戏。,2003/美国/动作冒险奇幻,95,8.6
大鱼,297996人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,2003/美国/剧情家庭奇幻冒险,96,8.7
阿凡达,632777人评价,绝对意义上的美轮美奂。,2009/美国英国/动作战争科幻冒险,97,8.6
告白,403342人评价,没有一人完全善，也没有一人完全恶。,2010/日本/剧情惊悚,98,8.7
摩登时代,113441人评价,大时代中的人生，小人物的悲喜。,1936/美国/喜剧剧情爱情,99,9.2
一一,181995人评价,我们都曾经是一一。,2000/台湾日本/剧情爱情家庭,100,9.0
甜蜜蜜,267244人评价,相逢只要一瞬间，等待却像是一辈子。,1996/香港/剧情爱情,101,8.8
射雕英雄传之东成西就,323927人评价,百看不厌。 ,1993/香港/喜剧古装,102,8.7
阳光姐妹淘,319486人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,2011/韩国/剧情喜剧,103,8.8
消失的爱人,431371人评价,年度最佳date movie。,2014/美国/剧情犯罪悬疑惊悚,104,8.7
爱在黎明破晓前,266098人评价,缘分是个连绵词，最美不过一瞬。,1995/美国奥地利瑞士/剧情爱情,105,8.7
上帝之城,177878人评价,被上帝抛弃了的上帝之城。,2002/巴西法国/犯罪剧情,106,8.9
侧耳倾听,205967人评价,少女情怀总是诗。,1995/日本/剧情爱情动画,107,8.8
小森林 夏秋篇,172859人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,2014/日本/剧情,108,8.9
爱在日落黄昏时,235230人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,2004/美国/剧情爱情,109,8.8
倩女幽魂,316437人评价,两张绝世的脸。 ,1987/香港/剧情爱情武侠古装,110,8.6
超脱,211694人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,2011/美国/剧情,111,8.8
喜剧之王,388295人评价,我是一个演员。,1999/香港/喜剧剧情爱情,112,8.6
风之谷,206192人评价,动画片的圣经。,1984/日本/动画奇幻冒险,113,8.8
恐怖直播,278785人评价,恐怖分子的“秋菊打官司”。,2013/韩国/剧情犯罪悬疑,114,8.7
红辣椒,165641人评价,梦的勾结。,2006/日本/动画悬疑科幻惊悚,115,8.9
菊次郎的夏天,226396人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,1999/日本/剧情喜剧,116,8.8
驯龙高手,342362人评价,和谐的生活离不开摸头与被摸头。,2010/美国/喜剧动画奇幻冒险,117,8.7
幸福终点站,263141人评价,有时候幸福需要等一等。 ,2004/美国/喜剧剧情爱情,118,8.7
神偷奶爸,460053人评价,Mr. I Don't Care其实也有Care的时候。,2010/美国法国/喜剧动画冒险,119,8.5
借东西的小人阿莉埃蒂,254451人评价,曾经的那段美好会沉淀为一辈子的记忆。,2010/日本/动画奇幻冒险,120,8.7
岁月神偷,347900人评价,岁月流逝，来日可追。,2010/香港中国大陆/剧情家庭,121,8.6
杀人回忆,245625人评价,关于连环杀人悬案的集体回忆。,2003/韩国/犯罪剧情悬疑惊悚,122,8.7
七武士,91924人评价,时代悲歌。,1954/日本/动作冒险剧情,123,9.2
萤火虫之墓,234747人评价,幸福是生生不息，却难以触及的远。 ,1988/日本/动画剧情战争,124,8.7
怪兽电力公司,293079人评价,不要给它起名字，起了名字就有感情了。,2001/美国/儿童喜剧动画奇幻冒险,125,8.6
谍影重重3,212712人评价,像吃了苏打饼一样干脆的电影。,2007/美国德国/动作悬疑惊悚,126,8.7
请以你的名字呼唤我,231835人评价,沉醉在电影的情感和视听氛围中无法自拔。,2017/意大利法国巴西美国/剧情爱情同性,127,8.8
小森林 冬春篇,149621人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,2015/日本/剧情,128,9.0
喜宴,164508人评价,中国家庭的喜怒哀乐忍。,1993/台湾美国/剧情喜剧爱情同性家庭,129,8.8
东邪西毒,299202人评价,电影诗。,1994/香港台湾/剧情动作爱情武侠古装,130,8.6
电锯惊魂,230393人评价,真相就在眼前。,2004/美国/悬疑惊悚恐怖,131,8.7
贫民窟的百万富翁,441531人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008/英国美国/剧情爱情,132,8.5
哈利·波特与死亡圣器(下),325853人评价,10年的完美句点。,2011/美国英国/剧情悬疑奇幻冒险,133,8.7
记忆碎片,322708人评价,一个针管引发的血案。,2000/美国/犯罪剧情悬疑惊悚,134,8.6
真爱至上,357147人评价,爱，是个动词。,2003/英国美国法国/喜剧剧情爱情,135,8.5
疯狂原始人,430539人评价,老少皆宜，这就是好莱坞动画的魅力。,2013/美国/喜剧动画冒险,136,8.7
黑天鹅,478059人评价,黑暗之美。,2010/美国/剧情惊悚,137,8.5
萤火之森,198140人评价,触不到的恋人。,2011/日本/剧情爱情动画奇幻,138,8.8
7号房的礼物,215058人评价,《我是山姆》的《美丽人生》。,2013/韩国/剧情喜剧家庭,139,8.7
英雄本色,212004人评价,英雄泪短，兄弟情长。 ,1986/香港/动作犯罪,140,8.6
雨人,234183人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,1988/美国/剧情,141,8.6
